"fixed_acidity", "fixed_acidity"_squared, "volatile_acidity", "volatile_acidity"_squared, "citric_acid", "citric_acid"_squared, "residual_sugar", "residual_sugar"_squared, "chlorides", "chlorides"_squared, "free_sulfur_dioxide", "free_sulfur_dioxide"_squared, "total_sulfur_dioxide", "total_sulfur_dioxide"_squared, "density", "density"_squared, "pH", "pH"_squared, "sulphates", "sulphates"_squared, "alcohol", "alcohol"_squared, "quality"
6.7, 44.89, 0.24, 0.0576, 0.39, 0.1521, 2.9, 8.41, 0.173, 0.029928999999999997, 63.0, 3969.0, 157.0, 24649.0, 0.9937, 0.9874396900000001, 3.1, 9.610000000000001, 0.34, 0.11560000000000002, 9.4, 88.36000000000001, 6.0
7.0, 49.0, 0.31, 0.0961, 0.26, 0.06760000000000001, 7.4, 54.760000000000005, 0.069, 0.0047610000000000005, 28.0, 784.0, 160.0, 25600.0, 0.9954, 0.9908211599999999, 3.13, 9.796899999999999, 0.46, 0.2116, 9.8, 96.04000000000002, 6.0
6.6, 43.559999999999995, 0.24, 0.0576, 0.27, 0.0729, 1.4, 1.9599999999999997, 0.057, 0.003249, 33.0, 1089.0, 152.0, 23104.0, 0.9934, 0.98684356, 3.22, 10.368400000000001, 0.56, 0.31360000000000005, 9.5, 90.25, 6.0
6.7, 44.89, 0.23, 0.0529, 0.26, 0.06760000000000001, 1.4, 1.9599999999999997, 0.06, 0.0036, 33.0, 1089.0, 154.0, 23716.0, 0.9934, 0.98684356, 3.24, 10.497600000000002, 0.56, 0.31360000000000005, 9.5, 90.25, 6.0
7.4, 54.760000000000005, 0.18, 0.0324, 0.31, 0.0961, 1.4, 1.9599999999999997, 0.058, 0.0033640000000000002, 38.0, 1444.0, 167.0, 27889.0, 0.9931, 0.9862476099999999, 3.16, 9.985600000000002, 0.53, 0.28090000000000004, 10.0, 100.0, 7.0
6.2, 38.440000000000005, 0.45, 0.2025, 0.26, 0.06760000000000001, 4.4, 19.360000000000003, 0.063, 0.003969, 63.0, 3969.0, 206.0, 42436.0, 0.994, 0.988036, 3.27, 10.6929, 0.52, 0.27040000000000003, 9.8, 96.04000000000002, 4.0
6.2, 38.440000000000005, 0.46, 0.2116, 0.25, 0.0625, 4.4, 19.360000000000003, 0.066, 0.0043560000000000005, 62.0, 3844.0, 207.0, 42849.0, 0.9939, 0.98783721, 3.25, 10.5625, 0.52, 0.27040000000000003, 9.8, 96.04000000000002, 5.0
7.0, 49.0, 0.31, 0.0961, 0.26, 0.06760000000000001, 7.4, 54.760000000000005, 0.069, 0.0047610000000000005, 28.0, 784.0, 160.0, 25600.0, 0.9954, 0.9908211599999999, 3.13, 9.796899999999999, 0.46, 0.2116, 9.8, 96.04000000000002, 6.0
6.9, 47.61000000000001, 0.19, 0.0361, 0.35, 0.12249999999999998, 5.0, 25.0, 0.067, 0.004489000000000001, 32.0, 1024.0, 150.0, 22500.0, 0.995, 0.990025, 3.36, 11.289599999999998, 0.48, 0.2304, 9.8, 96.04000000000002, 5.0
7.2, 51.84, 0.19, 0.0361, 0.31, 0.0961, 1.6, 2.5600000000000005, 0.062, 0.0038439999999999998, 31.0, 961.0, 173.0, 29929.0, 0.9917, 0.98346889, 3.35, 11.2225, 0.44, 0.1936, 11.7, 136.89, 6.0
6.6, 43.559999999999995, 0.25, 0.0625, 0.29, 0.0841, 1.1, 1.2100000000000002, 0.068, 0.0046240000000000005, 39.0, 1521.0, 124.0, 15376.0, 0.9914, 0.9828739599999999, 3.34, 11.1556, 0.58, 0.3364, 11.0, 121.0, 7.0
6.2, 38.440000000000005, 0.16, 0.0256, 0.33, 0.10890000000000001, 1.1, 1.2100000000000002, 0.057, 0.003249, 21.0, 441.0, 82.0, 6724.0, 0.991, 0.982081, 3.32, 11.0224, 0.46, 0.2116, 10.9, 118.81, 7.0
6.4, 40.96000000000001, 0.18, 0.0324, 0.35, 0.12249999999999998, 1.0, 1.0, 0.045, 0.002025, 39.0, 1521.0, 108.0, 11664.0, 0.9911, 0.98227921, 3.31, 10.956100000000001, 0.35, 0.12249999999999998, 10.9, 118.81, 6.0
6.8, 46.239999999999995, 0.2, 0.04000000000000001, 0.59, 0.34809999999999997, 0.9, 0.81, 0.147, 0.021608999999999996, 38.0, 1444.0, 132.0, 17424.0, 0.993, 0.986049, 3.05, 9.302499999999998, 0.38, 0.1444, 9.1, 82.80999999999999, 6.0
6.9, 47.61000000000001, 0.25, 0.0625, 0.35, 0.12249999999999998, 1.3, 1.6900000000000002, 0.039, 0.001521, 29.0, 841.0, 191.0, 36481.0, 0.9908, 0.98168464, 3.13, 9.796899999999999, 0.52, 0.27040000000000003, 11.0, 121.0, 6.0
7.2, 51.84, 0.21, 0.04409999999999999, 0.34, 0.11560000000000002, 11.9, 141.61, 0.043, 0.0018489999999999997, 37.0, 1369.0, 213.0, 45369.0, 0.9962, 0.9924144399999999, 3.09, 9.5481, 0.5, 0.25, 9.6, 92.16, 6.0
6.0, 36.0, 0.19, 0.0361, 0.26, 0.06760000000000001, 12.4, 153.76000000000002, 0.048, 0.002304, 50.0, 2500.0, 147.0, 21609.0, 0.9972, 0.9944078399999999, 3.3, 10.889999999999999, 0.36, 0.1296, 8.9, 79.21000000000001, 6.0
6.6, 43.559999999999995, 0.38, 0.1444, 0.15, 0.0225, 4.6, 21.159999999999997, 0.044, 0.0019359999999999998, 25.0, 625.0, 78.0, 6084.0, 0.9931, 0.9862476099999999, 3.11, 9.672099999999999, 0.38, 0.1444, 10.2, 104.03999999999999, 6.0
7.4, 54.760000000000005, 0.2, 0.04000000000000001, 0.36, 0.1296, 1.2, 1.44, 0.038, 0.001444, 44.0, 1936.0, 111.0, 12321.0, 0.9926, 0.9852547600000001, 3.36, 11.289599999999998, 0.34, 0.11560000000000002, 9.9, 98.01, 6.0
6.8, 46.239999999999995, 0.22, 0.0484, 0.24, 0.0576, 4.9, 24.010000000000005, 0.092, 0.008464, 30.0, 900.0, 123.0, 15129.0, 0.9951, 0.9902240099999999, 3.03, 9.1809, 0.46, 0.2116, 8.6, 73.96, 6.0
6.0, 36.0, 0.19, 0.0361, 0.26, 0.06760000000000001, 12.4, 153.76000000000002, 0.048, 0.002304, 50.0, 2500.0, 147.0, 21609.0, 0.9972, 0.9944078399999999, 3.3, 10.889999999999999, 0.36, 0.1296, 8.9, 79.21000000000001, 6.0
7.0, 49.0, 0.47, 0.22089999999999999, 0.07, 0.004900000000000001, 1.1, 1.2100000000000002, 0.035, 0.0012250000000000002, 17.0, 289.0, 151.0, 22801.0, 0.991, 0.982081, 3.02, 9.1204, 0.34, 0.11560000000000002, 10.5, 110.25, 5.0
6.6, 43.559999999999995, 0.38, 0.1444, 0.15, 0.0225, 4.6, 21.159999999999997, 0.044, 0.0019359999999999998, 25.0, 625.0, 78.0, 6084.0, 0.9931, 0.9862476099999999, 3.11, 9.672099999999999, 0.38, 0.1444, 10.2, 104.03999999999999, 6.0
7.2, 51.84, 0.24, 0.0576, 0.27, 0.0729, 1.4, 1.9599999999999997, 0.038, 0.001444, 31.0, 961.0, 122.0, 14884.0, 0.9927, 0.98545329, 3.15, 9.9225, 0.46, 0.2116, 10.3, 106.09000000000002, 6.0
6.2, 38.440000000000005, 0.35, 0.12249999999999998, 0.03, 0.0009, 1.2, 1.44, 0.064, 0.004096, 29.0, 841.0, 120.0, 14400.0, 0.9934, 0.98684356, 3.22, 10.368400000000001, 0.54, 0.2916, 9.1, 82.80999999999999, 5.0
6.4, 40.96000000000001, 0.26, 0.06760000000000001, 0.24, 0.0576, 6.4, 40.96000000000001, 0.04, 0.0016, 27.0, 729.0, 124.0, 15376.0, 0.9903, 0.98069409, 3.22, 10.368400000000001, 0.49, 0.24009999999999998, 12.6, 158.76, 7.0
6.7, 44.89, 0.25, 0.0625, 0.13, 0.016900000000000002, 1.2, 1.44, 0.041, 0.0016810000000000002, 81.0, 6561.0, 174.0, 30276.0, 0.992, 0.9840639999999999, 3.14, 9.8596, 0.42, 0.17639999999999997, 9.8, 96.04000000000002, 5.0
6.7, 44.89, 0.23, 0.0529, 0.31, 0.0961, 2.1, 4.41, 0.046, 0.002116, 30.0, 900.0, 96.0, 9216.0, 0.9926, 0.9852547600000001, 3.33, 11.0889, 0.64, 0.4096, 10.7, 114.48999999999998, 8.0
7.4, 54.760000000000005, 0.24, 0.0576, 0.29, 0.0841, 10.1, 102.00999999999999, 0.05, 0.0025000000000000005, 21.0, 441.0, 105.0, 11025.0, 0.9962, 0.9924144399999999, 3.13, 9.796899999999999, 0.35, 0.12249999999999998, 9.5, 90.25, 5.0
6.2, 38.440000000000005, 0.27, 0.0729, 0.43, 0.18489999999999998, 7.8, 60.839999999999996, 0.056, 0.0031360000000000003, 48.0, 2304.0, 244.0, 59536.0, 0.9956, 0.9912193600000001, 3.1, 9.610000000000001, 0.51, 0.2601, 9.0, 81.0, 6.0
6.8, 46.239999999999995, 0.3, 0.09, 0.23, 0.0529, 4.6, 21.159999999999997, 0.061, 0.003721, 50.5, 2550.25, 238.5, 56882.25, 0.9958, 0.9916176400000001, 3.32, 11.0224, 0.6, 0.36, 9.5, 90.25, 5.0
6.0, 36.0, 0.27, 0.0729, 0.28, 0.07840000000000001, 4.8, 23.04, 0.063, 0.003969, 31.0, 961.0, 201.0, 40401.0, 0.9964, 0.9928129599999999, 3.69, 13.6161, 0.71, 0.5041, 10.0, 100.0, 5.0
8.6, 73.96, 0.23, 0.0529, 0.46, 0.2116, 1.0, 1.0, 0.054, 0.0029159999999999998, 9.0, 81.0, 72.0, 5184.0, 0.9941, 0.98823481, 2.95, 8.7025, 0.49, 0.24009999999999998, 9.1, 82.80999999999999, 6.0
6.7, 44.89, 0.23, 0.0529, 0.31, 0.0961, 2.1, 4.41, 0.046, 0.002116, 30.0, 900.0, 96.0, 9216.0, 0.9926, 0.9852547600000001, 3.33, 11.0889, 0.64, 0.4096, 10.7, 114.48999999999998, 8.0
7.4, 54.760000000000005, 0.24, 0.0576, 0.29, 0.0841, 10.1, 102.00999999999999, 0.05, 0.0025000000000000005, 21.0, 441.0, 105.0, 11025.0, 0.9962, 0.9924144399999999, 3.13, 9.796899999999999, 0.35, 0.12249999999999998, 9.5, 90.25, 5.0
7.1, 50.41, 0.18, 0.0324, 0.36, 0.1296, 1.4, 1.9599999999999997, 0.043, 0.0018489999999999997, 31.0, 961.0, 87.0, 7569.0, 0.9898, 0.97970404, 3.26, 10.6276, 0.37, 0.1369, 12.7, 161.29, 7.0
7.0, 49.0, 0.32, 0.1024, 0.34, 0.11560000000000002, 1.3, 1.6900000000000002, 0.042, 0.0017640000000000002, 20.0, 400.0, 69.0, 4761.0, 0.9912, 0.9824774399999999, 3.31, 10.956100000000001, 0.65, 0.42250000000000004, 12.0, 144.0, 7.0
7.4, 54.760000000000005, 0.18, 0.0324, 0.3, 0.09, 8.8, 77.44000000000001, 0.064, 0.004096, 26.0, 676.0, 103.0, 10609.0, 0.9961, 0.99221521, 2.94, 8.6436, 0.56, 0.31360000000000005, 9.3, 86.49000000000001, 5.0
6.7, 44.89, 0.54, 0.2916, 0.28, 0.07840000000000001, 5.4, 29.160000000000004, 0.06, 0.0036, 21.0, 441.0, 105.0, 11025.0, 0.9949, 0.98982601, 3.27, 10.6929, 0.37, 0.1369, 9.0, 81.0, 5.0
6.8, 46.239999999999995, 0.22, 0.0484, 0.31, 0.0961, 1.4, 1.9599999999999997, 0.053, 0.002809, 34.0, 1156.0, 114.0, 12996.0, 0.9929, 0.98585041, 3.39, 11.4921, 0.77, 0.5929, 10.6, 112.36, 6.0
7.1, 50.41, 0.2, 0.04000000000000001, 0.34, 0.11560000000000002, 16.0, 256.0, 0.05, 0.0025000000000000005, 51.0, 2601.0, 166.0, 27556.0, 0.9985, 0.9970022500000001, 3.21, 10.3041, 0.6, 0.36, 9.2, 84.63999999999999, 6.0
7.1, 50.41, 0.34, 0.11560000000000002, 0.2, 0.04000000000000001, 6.1, 37.209999999999994, 0.063, 0.003969, 47.0, 2209.0, 164.0, 26896.0, 0.9946, 0.98922916, 3.17, 10.0489, 0.42, 0.17639999999999997, 10.0, 100.0, 5.0
7.3, 53.29, 0.22, 0.0484, 0.3, 0.09, 8.2, 67.24, 0.047, 0.002209, 42.0, 1764.0, 207.0, 42849.0, 0.9966, 0.9932115600000001, 3.33, 11.0889, 0.46, 0.2116, 9.5, 90.25, 6.0
7.1, 50.41, 0.43, 0.18489999999999998, 0.61, 0.3721, 11.8, 139.24, 0.045, 0.002025, 54.0, 2916.0, 155.0, 24025.0, 0.9974, 0.9948067599999999, 3.11, 9.672099999999999, 0.45, 0.2025, 8.7, 75.68999999999998, 5.0
7.1, 50.41, 0.44, 0.1936, 0.62, 0.3844, 11.8, 139.24, 0.044, 0.0019359999999999998, 52.0, 2704.0, 152.0, 23104.0, 0.9975, 0.9950062500000001, 3.12, 9.7344, 0.46, 0.2116, 8.7, 75.68999999999998, 6.0
7.2, 51.84, 0.39, 0.1521, 0.63, 0.39690000000000003, 11.0, 121.0, 0.044, 0.0019359999999999998, 55.0, 3025.0, 156.0, 24336.0, 0.9974, 0.9948067599999999, 3.09, 9.5481, 0.44, 0.1936, 8.7, 75.68999999999998, 6.0
6.8, 46.239999999999995, 0.25, 0.0625, 0.31, 0.0961, 13.3, 176.89000000000001, 0.05, 0.0025000000000000005, 69.0, 4761.0, 202.0, 40804.0, 0.9972, 0.9944078399999999, 3.22, 10.368400000000001, 0.48, 0.2304, 9.7, 94.08999999999999, 6.0
7.1, 50.41, 0.43, 0.18489999999999998, 0.61, 0.3721, 11.8, 139.24, 0.045, 0.002025, 54.0, 2916.0, 155.0, 24025.0, 0.9974, 0.9948067599999999, 3.11, 9.672099999999999, 0.45, 0.2025, 8.7, 75.68999999999998, 5.0
7.1, 50.41, 0.44, 0.1936, 0.62, 0.3844, 11.8, 139.24, 0.044, 0.0019359999999999998, 52.0, 2704.0, 152.0, 23104.0, 0.9975, 0.9950062500000001, 3.12, 9.7344, 0.46, 0.2116, 8.7, 75.68999999999998, 6.0
7.2, 51.84, 0.39, 0.1521, 0.63, 0.39690000000000003, 11.0, 121.0, 0.044, 0.0019359999999999998, 55.0, 3025.0, 156.0, 24336.0, 0.9974, 0.9948067599999999, 3.09, 9.5481, 0.44, 0.1936, 8.7, 75.68999999999998, 6.0
6.1, 37.209999999999994, 0.27, 0.0729, 0.43, 0.18489999999999998, 7.5, 56.25, 0.049, 0.0024010000000000004, 65.0, 4225.0, 243.0, 59049.0, 0.9957, 0.99141849, 3.12, 9.7344, 0.47, 0.22089999999999999, 9.0, 81.0, 5.0
6.9, 47.61000000000001, 0.24, 0.0576, 0.33, 0.10890000000000001, 1.7, 2.8899999999999997, 0.035, 0.0012250000000000002, 47.0, 2209.0, 136.0, 18496.0, 0.99, 0.9801, 3.26, 10.6276, 0.4, 0.16000000000000003, 12.6, 158.76, 7.0
6.9, 47.61000000000001, 0.21, 0.04409999999999999, 0.33, 0.10890000000000001, 1.8, 3.24, 0.034, 0.0011560000000000001, 48.0, 2304.0, 136.0, 18496.0, 0.9899, 0.97990201, 3.25, 10.5625, 0.41, 0.16809999999999997, 12.6, 158.76, 7.0
7.5, 56.25, 0.17, 0.028900000000000006, 0.32, 0.1024, 1.7, 2.8899999999999997, 0.04, 0.0016, 51.0, 2601.0, 148.0, 21904.0, 0.9916, 0.9832705600000001, 3.21, 10.3041, 0.44, 0.1936, 11.5, 132.25, 7.0
7.1, 50.41, 0.26, 0.06760000000000001, 0.29, 0.0841, 12.4, 153.76000000000002, 0.044, 0.0019359999999999998, 62.0, 3844.0, 240.0, 57600.0, 0.9969, 0.99380961, 3.04, 9.2416, 0.42, 0.17639999999999997, 9.2, 84.63999999999999, 6.0
6.0, 36.0, 0.34, 0.11560000000000002, 0.66, 0.43560000000000004, 15.9, 252.81, 0.046, 0.002116, 26.0, 676.0, 164.0, 26896.0, 0.9979, 0.99580441, 3.14, 9.8596, 0.5, 0.25, 8.8, 77.44000000000001, 6.0
